gene_id	4438	4460	4474	4501	4510	4520	DC1MINUS	DC2MINUES	DC2PLUS	DC4MINUS	DC4PLUS	MischiefMinus	MischiefPlus	X2654MINUS	X2654PLUS
ABCG8	2	2	2	2	9	4	0	1	0	0	0	110	166	1	1
GPR75	4	2	0	3	11	0	1	0	0	2	2	93	127	19	5
ACYP2	20	35	33	27	9	26	39	70	57	66	65	11	44	44	51
CA3H2orf74	4	2	1	1	4	3	0	0	1	0	0	12	9	0	0
MEIS1	510	419	724	317	161	463	315	304	276	384	497	141	158	241	255
GFPT1	1050	1006	876	569	215	742	2001	2589	1942	2738	3931	178	186	1970	2346
FAM136A	236	307	257	133	61	223	309	286	235	368	412	101	98	128	165
STAMBP	541	487	533	267	105	358	480	676	627	364	467	244	246	409	463
WDR54	30	17	38	17	16	26	48	48	53	38	71	95	75	41	36
DQX1	139	84	109	48	31	83	77	44	34	73	106	135	109	26	37
LOXL3	297	414	348	265	118	307	2654	3596	3377	1748	1923	212	248	246	324
POLE4	366	311	401	201	82	315	460	340	284	435	582	44	71	298	348
TRABD2A	134	57	102	64	31	65	11	12	25	13	18	117	134	9	10
VAMP8	1377	1317	1600	863	319	1064	1246	1381	1199	1338	1607	124	71	768	989
IMMT	1607	1453	1447	1006	350	1160	2491	2515	2045	2957	4141	308	246	1577	1860
ADRA2B	4	0	1	1	9	0	2	0	0	1	1	47	87	1	0
ARID5A	659	640	654	368	148	511	136	229	213	237	247	270	173	117	161
HNRNPLL	728	982	880	266	126	517	1118	1321	1017	1544	1997	180	115	689	860
HEATR5B	1453	1176	1326	1008	343	942	1179	1323	1117	1471	1955	325	315	560	665
VIT	125	46	149	50	41	84	0	4	0	2	0	177	234	2	6
SRD5A2	2	6	0	0	5	1	4	4	3	2	1	33	60	2	11
ZNF512	597	565	540	257	99	321	520	643	525	467	646	195	222	338	494
GTF3C2	1646	1217	1401	777	273	1022	867	916	799	1028	1116	232	238	484	598
ASXL2	2421	1933	1878	1471	600	1325	764	978	727	1002	1384	595	534	559	717
CENPO	165	118	150	102	31	83	131	109	84	154	227	82	115	81	95
ABHD1	68	46	54	28	20	55	63	67	48	61	76	72	85	45	62
ADGRF3	13	16	7	13	18	4	8	1	10	8	10	112	119	9	15
NBAS	2888	3142	3623	1850	902	3695	2741	3220	2723	2626	3297	427	479	3019	3252
KLF11	119	104	162	139	49	118	123	206	158	129	197	59	58	81	53
ROCK2	5532	5570	5404	3093	1309	4384	10497	11977	8902	12535	15244	337	318	9206	11817
TPO	7	4	5	2	25	7	5	3	0	1	1	72	65	0	0
ERICH1	231	267	270	127	61	193	195	195	167	183	253	94	81	120	136
CLN8	1423	1432	1280	515	271	1108	723	836	816	688	865	79	46	465	509
DEFB1	409	154	562	186	136	239	5	3	3	1	1	36	45	1	3
LOC102899407	1	0	0	2	2	0	0	0	0	0	0	8	15	0	0
CCDC110	47	22	12	16	11	21	6	2	0	2	4	24	21	2	1
UFSP2	361	361	287	161	77	228	797	841	672	837	1219	89	115	493	696
ASAH1	2809	1778	3761	1324	934	1812	4973	7824	6187	4454	6184	93	112	7926	9426
CB1H8orf58	68	75	58	61	36	64	81	52	47	29	57	112	71	49	55
POLR3D	219	244	248	109	46	153	358	376	325	612	737	151	179	275	343
LOC101097234	0	2	2	2	15	1	0	0	0	0	0	34	34	0	1
PLPBP	384	318	363	175	76	231	453	566	445	530	687	108	138	407	485
ESCO2	87	127	117	54	28	68	26	24	21	34	49	122	143	5	10
PINX1	159	145	156	84	35	93	212	200	159	251	345	39	37	143	181
LOC101083586	46	15	3	46	12	11	3	0	0	0	0	118	157	0	0
NPY2R	0	2	2	0	5	2	45	85	67	70	108	40	75	8	12
ARFIP1	1307	1231	1242	569	260	990	3170	3573	2651	2802	3515	58	64	2082	2577
FAM160A1	21	11	8	22	31	12	27	41	26	12	21	189	225	7	13
SCLT1	198	98	177	121	56	98	114	186	148	129	174	116	163	90	139
ABHD18	585	588	610	374	156	412	750	813	650	956	1250	62	56	279	347
ANKRD50	471	620	412	240	109	376	534	651	516	625	825	115	140	656	807
ANXA5	2308	4838	1654	2395	1596	2753	5593	5701	4281	8336	11279	277	165	3680	4412
SYNPO2	1	1	2	2	15	3	629	1687	1123	909	1177	213	260	1054	1084
PLA2G12A	1016	817	1017	344	300	758	2024	2727	2156	2148	2913	95	100	1442	1757
AIMP1	979	982	1008	602	230	710	987	1117	885	1161	1577	119	108	667	924
GSTCD	145	163	125	86	40	111	309	522	386	396	426	95	90	233	261
PPA2	189	190	205	150	60	143	999	1098	905	946	1287	75	54	694	880
TET2	1823	1707	1741	1314	599	1070	422	535	400	485	672	250	240	245	270
LOC102902241	11	14	10	11	20	5	13	1	0	16	21	177	234	0	0
MMRN1	4179	4457	4497	3469	1770	3391	2	0	0	3	3	98	101	0	0
TIGD2	613	600	603	282	113	390	342	366	272	405	608	65	94	196	220
PPM1K	1012	1233	822	276	153	590	447	394	335	437	563	141	161	403	487
ABRAXAS1	526	479	551	486	109	371	132	121	89	127	177	87	118	81	81
HELQ	895	799	988	474	185	564	488	548	385	638	824	151	162	291	347
NAA11	3	2	1	2	12	0	3	1	0	0	0	84	83	0	0
BMP3	4	3	1	2	17	2	36	28	35	6	4	50	60	84	149
SPINK2	31	57	10	8	11	15	30	48	41	0	17	19	32	3	6
EXOC1	1297	1623	1349	692	344	1046	1902	2429	1916	2049	2852	200	177	1103	1389
PDCL2	12	21	23	5	9	14	0	1	0	1	0	23	42	0	1
SRD5A3	484	509	483	190	97	309	675	735	609	775	1076	78	47	487	563
CNGA1	0	5	6	6	11	6	1	0	0	0	0	27	43	0	0
ATP5ME	1218	1374	1386	703	295	975	1018	1127	884	1250	1628	114	62	884	1074
LOC101083004	0	0	0	0	3	0	0	0	0	0	0	4	11	0	0
LOC101086059	0	0	1	0	4	0	1	0	0	0	1	38	43	0	0
LOC101091367	195	192	167	113	45	146	118	214	185	174	213	47	69	102	101
ZSCAN16	845	725	688	373	126	502	347	583	494	532	624	169	176	346	424
LOC101101309	0	0	0	0	1	0	0	0	0	0	0	1	2	1	0
CB2H6orf229	86	59	81	111	39	57	0	0	0	0	0	56	69	0	0
ACOT13	211	171	193	113	41	123	264	309	231	324	373	61	34	178	241
STMND1	0	2	0	1	6	0	0	0	0	0	0	77	99	0	0
ADTRP	23	22	7	2	8	10	21	36	32	7	13	70	76	16	13
SMIM13	24	23	34	19	6	25	52	48	31	57	71	20	18	25	40
LOC109491352	612	474	760	316	116	400	0	1	0	0	0	95	117	0	0
F13A1	2000	1208	3436	740	565	1339	0	11	8	1	0	108	132	2	0
BPHL	30	22	50	25	11	39	26	111	82	26	35	83	113	73	53
VARS2	1289	907	953	731	245	760	534	730	650	903	1048	265	313	487	575
TCF19	145	166	162	66	36	94	65	5	3	49	47	187	192	4	7
LST1	230	150	372	142	57	158	1	0	0	0	0	17	28	0	0
CB2H6orf47	387	410	309	153	83	274	591	666	624	745	806	78	63	369	472
LY6G6F	8030	9430	8476	5678	3252	11301	1	0	0	0	0	72	79	0	0
LOC101090518	1255	943	1269	1312	287	1121	0	0	0	1	0	18	8	0	1
LOC101087741	2	4	0	0	8	4	2	1	0	2	1	92	97	0	4
RPS10	12580	13755	15275	9245	3340	10738	9089	9628	8270	9430	12495	1279	739	7423	8429
KIF6	4	5	0	10	14	2	167	233	188	147	195	211	230	156	187
DAAM2	53	52	33	28	55	33	2894	2590	2217	4277	4758	286	353	1848	2135
TBC1D22B	406	378	320	149	78	284	129	116	106	123	183	155	166	74	83
TFEB	1267	878	1429	846	302	1077	113	158	174	155	174	71	74	253	320
ABCC10	382	248	291	196	86	208	219	153	129	166	187	384	355	117	95
LOC101090105	241	446	256	78	68	147	38	29	15	20	33	389	403	11	17
CB2H6orf226	188	165	135	92	41	119	90	84	70	98	165	31	33	55	64
SRF	1048	1182	1004	444	198	821	1169	1136	1011	1919	2161	126	115	1135	1213
CAPN11	7	11	19	10	23	7	1	1	0	3	1	168	190	1	2
SLC35B2	245	231	223	146	73	158	486	606	565	519	646	47	60	399	450
SLC25A27	184	106	132	49	53	65	49	82	57	60	125	151	185	41	47
ADGRF1	3	4	3	6	8	0	15	0	2	0	0	95	108	7	3
RHAG	2028	2316	1761	1155	365	1381	2	0	1	2	2	39	49	0	0
KLHL31	60	42	48	38	43	46	30	68	60	47	57	192	214	65	93
TINAG	1	1	3	2	11	0	34	2	2	25	35	23	32	0	2
IL17A	0	0	2	3	0	0	0	0	0	0	0	45	70	0	0
PRIM2	275	216	288	221	104	197	115	116	80	111	177	95	97	75	104
SDHAF4	125	115	137	107	25	103	101	125	107	172	202	21	25	93	102
CGAS	294	670	320	46	130	377	25	18	5	27	44	85	76	5	9
FILIP1	5	3	2	3	18	6	44	29	15	61	109	125	193	5	7
MEI4	4	0	2	1	0	1	0	0	0	0	0	40	50	0	1
HTR1E	1	0	2	2	8	3	0	0	0	2	0	67	66	0	0
UFL1	955	910	904	438	173	615	1529	1152	893	1595	2115	140	110	736	937
TSPYL4	1897	1758	1625	840	281	1303	655	1072	894	1154	1398	250	204	431	626
THEMIS	917	917	893	253	141	748	0	0	0	1	0	114	72	0	0
TMEM244	2	0	0	0	5	0	1	3	8	4	8	37	55	20	16
ENPP3	31	27	8	32	20	25	1	1	4	4	3	165	254	3	2
TCF21	12	6	14	6	13	4	21	38	27	22	29	12	22	1	3
PHACTR2	3711	4268	3825	2739	1003	2755	1306	1720	1323	1434	1968	273	320	874	1064
LTV1	706	687	582	375	138	419	542	575	399	569	872	281	224	483	504
ADGB	19	12	11	9	24	11	4	7	4	4	8	147	178	3	5
TAB2	4351	4099	3512	1879	796	2648	1749	1985	1653	2379	3247	343	264	1281	1709
RSPH3	26	9	36	19	11	20	52	96	89	72	97	85	115	35	49
ZSCAN2	25	39	28	17	19	29	91	108	98	190	174	75	98	53	58
VPS33B	660	608	575	502	143	479	246	258	235	252	335	235	250	153	194
ABHD2	1095	530	891	718	247	608	2409	1664	1440	2160	3019	305	315	1972	2490
KLHL25	192	113	186	68	75	129	48	60	61	53	62	68	62	24	28
TTC23	7	4	4	6	16	7	270	244	232	276	342	115	161	171	200
LRRC28	237	205	251	142	66	211	749	755	603	865	1198	141	169	544	683
NSMCE3	484	510	470	286	95	428	366	384	262	414	604	31	36	186	272
MTMR10	1742	1743	2346	1259	544	1562	488	518	409	607	695	143	144	311	396
IMP3	490	561	552	313	122	447	511	570	489	535	637	88	46	517	589
TBC1D21	1	1	0	1	10	2	0	0	0	0	0	51	68	0	0
SPESP1	8	9	1	2	4	2	3	1	1	2	6	32	31	6	12
ZWILCH	78	65	93	47	30	54	166	115	80	116	156	187	229	89	90
PIF1	35	53	41	20	40	47	112	25	33	120	141	221	223	78	75
PIGB	228	216	235	174	74	126	135	155	99	146	203	29	8	100	149
CB3H15orf65	6	3	7	8	2	6	3	14	4	13	7	15	20	0	3
LOC101094932	0	0	4	1	5	4	5	4	4	1	1	70	116	32	36
DTWD1	222	242	208	126	39	138	433	531	432	503	632	13	9	330	417
FGF7	2	2	2	4	12	1	947	6787	5177	887	1519	22	31	10314	10710
SPATA5L1	342	300	321	237	89	264	273	365	342	308	370	69	63	187	245
PPIP5K1	709	692	611	422	202	544	311	466	372	336	459	539	540	425	499
TGM5	8	3	2	6	20	2	1	2	0	1	2	156	176	1	1
LOC101083342	465	392	344	263	113	302	64	69	90	70	82	211	217	39	61
CB3H15orf62	124	90	98	50	31	71	38	29	18	43	42	53	58	18	21
BMF	900	688	651	315	164	426	130	753	592	336	400	204	228	148	137
MEIS2	3	1	4	5	10	3	569	504	383	710	868	104	89	250	258
LOC101096989	3	2	1	0	15	3	0	0	0	0	0	77	79	0	0
FSIP1	5	4	6	3	7	4	12	7	10	13	24	60	60	14	34
AVEN	215	188	211	129	56	135	704	537	442	762	940	105	96	494	568
LOC101096153	0	0	0	0	0	0	0	0	0	0	0	44	63	0	0
LOC101089195	0	0	0	0	3	0	0	0	0	0	0	2	4	0	0
LOC101089699	2	1	1	0	9	2	0	0	0	0	0	50	47	0	0
PARP2	116	54	91	94	41	58	87	106	102	154	175	189	163	51	46
LOC101092190	1884	554	1855	902	645	1007	0	0	0	0	0	61	53	0	0
RNASE7	0	2	0	0	4	1	0	0	0	0	0	21	28	0	0
LOC101085895	0	0	0	0	1	0	0	0	0	0	0	19	23	0	0
SLC7A8	19	23	25	14	29	12	13	58	43	14	30	125	167	29	34
RNF212B	110	131	167	126	53	114	26	30	31	56	71	41	63	26	43
THTPA	395	291	313	176	63	274	130	188	162	172	239	101	94	158	172
CPNE6	4	4	2	7	13	4	0	0	0	0	1	85	93	1	0
TINF2	558	449	508	310	106	333	232	223	209	229	270	148	143	156	166
LOC101099215	2	0	1	1	5	1	0	62	42	2	2	79	80	0	0
GZMB	15	106	120	22	14	23	0	0	0	0	0	678	458	0	0
GEMIN2	405	410	334	182	88	248	505	502	430	484	669	32	35	281	354
MGAT2	1631	1859	1671	699	388	1342	2509	2516	2046	2733	3480	120	114	2127	2929
OTX2	2	0	1	5	10	1	1	0	1	0	2	84	80	0	0
TRMT5	139	152	137	69	29	115	490	539	467	522	625	42	40	294	373
ZFP36L1	1474	752	968	1090	436	590	563	790	699	682	934	163	155	920	1253
ACOT4	12	39	13	6	10	13	14	17	13	13	25	31	32	4	3
LOC101092771	31	19	20	32	9	14	35	32	38	39	38	51	108	54	80
FAM161B	102	102	102	62	26	78	210	207	162	163	191	136	139	176	206
SAMD15	46	27	44	21	11	27	14	20	15	30	32	104	168	13	15
DIO2	5	1	1	2	11	1	5	3	0	0	2	62	94	3	5
EFCAB11	67	68	83	39	33	61	61	65	39	100	134	60	85	22	31
SERPINA1	1	5	2	3	2	0	3	1	4	0	1	29	29	3	1
SERPINA4	0	1	1	1	9	0	0	0	0	0	0	78	81	0	0
EML1	6	5	2	2	34	2	1932	2257	1914	1921	2503	213	283	1106	1241
WDR20	515	408	438	251	107	310	279	238	246	246	293	165	161	171	220
BTBD6	204	202	221	127	45	180	878	949	797	831	917	41	39	863	939
LOC101099307	0	1	0	1	2	0	0	0	0	0	0	4	11	0	0
PHYH	1085	1187	954	454	187	797	2476	2280	1912	2122	2697	87	83	1466	1765
CDNF	16	30	34	15	15	29	87	389	310	164	268	50	56	301	293
ARHGAP21	476	225	491	317	157	240	4022	2821	2160	4381	5816	246	282	2403	2585
PRTFDC1	4	0	1	0	12	0	181	120	78	217	327	60	92	105	140
ACBD5	687	624	746	370	162	547	1109	1124	894	1234	1663	169	189	828	951
PEX26	1049	868	881	513	206	797	1718	1924	1723	1751	2331	138	157	1277	1427
KDM5A	4367	3833	3869	2767	1087	2994	1616	1797	1421	1833	2488	598	696	1102	1197
TEAD4	4	1	2	1	8	0	357	405	332	475	630	106	139	308	395
PLEKHG6	25	16	24	9	7	14	16	6	3	9	16	137	149	6	4
NOP2	759	710	568	281	131	507	849	747	633	799	1005	221	228	441	548
TPI1	3315	2056	4031	2394	771	2861	13284	6587	5930	15956	19045	802	476	8594	9740
A2M	207	83	265	180	81	112	49	24	25	1	1	235	326	1	1
KLRB1	45	21	141	9	23	8	0	0	0	0	0	25	19	1	0
KLRD1	68	215	286	59	46	49	0	0	0	0	0	42	41	0	2
SMIM10L1	1095	1462	1102	654	249	952	412	380	314	365	508	109	65	266	266
PYROXD1	523	685	499	254	106	368	515	496	398	844	1009	39	45	461	608
RECQL	844	854	858	406	149	575	323	294	229	648	1024	135	107	541	625
LOC102901968	1	9	3	3	7	2	0	0	0	0	0	32	33	0	0
IRAK4	874	680	1061	536	204	655	459	565	450	558	779	64	57	554	685
FAM186B	15	26	9	19	25	9	3	7	3	2	2	184	227	6	5
FAIM2	1	3	3	4	14	2	1	1	0	0	0	167	191	0	0
LOC101097497	5	0	1	4	19	4	0	0	0	0	0	126	186	1	1
ATF7	646	378	470	806	250	267	363	456	314	268	346	443	471	232	253
ATP5MC2	1806	1721	1882	1011	385	1549	4271	4141	3929	4254	5055	130	111	2958	3106
LOC102901478	1	0	0	3	3	0	0	0	0	0	0	30	44	0	0
GPR84	13	8	30	9	9	4	0	0	0	0	0	76	78	0	0
LOC101082924	0	1	1	1	1	0	0	0	0	0	0	33	39	0	0
LOC101083947	0	0	0	1	3	0	0	0	1	0	0	23	21	0	0
ZC3H10	348	238	271	188	90	186	244	285	225	268	324	175	134	162	190
LOC101084119	0	0	0	0	4	0	0	0	0	0	0	49	63	0	0
DDIT3	183	213	141	91	42	121	1922	2155	1767	1806	2323	44	56	750	916
ATP23	238	197	225	120	54	140	257	276	209	280	367	70	95	150	197
DYRK2	8627	8735	7287	2635	1370	5618	2409	2273	1864	1604	1914	204	199	979	1383
IL26	4	2	4	1	3	0	0	0	0	0	0	33	37	0	0
MDM1	304	247	285	151	61	180	126	120	94	153	201	221	205	55	71
KCNMB4	29	17	22	21	5	16	1266	1243	1033	1168	1461	23	38	1176	1361
ATXN7L3B	2356	2217	2208	1356	515	1786	986	1081	829	1242	1621	188	140	491	569
E2F7	30	32	45	19	22	20	31	16	12	31	44	243	287	4	5
PPP1R12A	5259	4639	4965	2918	1026	3087	7641	7051	5707	10638	13970	759	465	3882	4657
TMTC3	551	419	450	311	104	290	1773	2164	1543	1944	2571	141	171	1427	1750
GALNT4	200	252	230	131	61	202	162	173	139	139	201	103	87	96	133
SNRPF	202	197	233	70	30	126	320	230	196	309	382	157	108	172	164
HAL	6	7	2	10	14	2	4	9	5	1	0	101	139	0	0
TDG	779	706	707	399	166	559	550	408	303	676	842	124	99	232	272
TXNRD1	1457	1388	1669	685	297	1106	7382	5539	5014	5269	6663	493	326	4907	5997
TCP11L2	3458	2827	2653	2555	798	2782	1290	1829	1510	1253	1603	110	148	1423	1763
RFX4	7	5	6	3	19	3	1	0	1	1	1	200	241	0	0
LARGE1	282	310	182	47	66	143	2797	2860	2461	4212	5296	237	280	2758	3092
DMC1	2	0	1	1	6	0	127	230	187	155	170	45	55	113	153
SERHL2	1107	934	747	427	163	527	731	909	761	699	855	79	101	524	701
PNPLA3	6	4	1	14	15	7	100	179	145	103	146	57	68	92	115
GTSE1	70	59	87	43	41	50	50	5	3	20	32	128	107	1	4
ARSA	272	254	263	183	67	236	703	1064	919	703	722	136	115	671	668
MORN1	8	10	8	11	22	4	45	42	50	34	34	35	44	46	45
TNFRSF14	1702	1889	1751	958	350	1474	154	264	242	132	177	149	100	109	121
H6PD	1142	954	1318	645	337	938	964	2980	2754	1625	2213	355	229	1436	1572
PDPN	2	0	0	0	13	0	1791	4836	4341	1334	2252	118	149	2277	2526
KLHL21	564	491	421	237	113	454	2772	3601	3273	2623	2932	101	74	2244	2364
CAPZB	5624	5597	7581	3362	1303	6473	4553	5406	4707	6201	7683	636	418	5082	6114
TEX46	1	1	0	0	3	1	0	0	0	0	0	30	28	0	0
LOC101098728	613	651	612	331	108	427	291	358	303	312	453	187	146	311	374
IFI6	2097	7416	1759	175	736	3306	438	321	284	229	293	49	69	645	792
RPA2	777	737	936	498	155	625	549	422	387	589	838	141	166	329	377
DNAJC8	969	1314	1006	630	259	742	984	1188	960	1176	1670	380	262	770	726
COL16A1	117	58	72	65	70	38	3791	2235	2046	3269	3838	376	494	493	642
EIF3I	4660	4537	4674	2938	880	3721	4486	5033	4235	5404	6585	364	282	4027	4339
LOC101081743	533	385	416	207	100	278	37	5	2	12	17	73	66	12	11
HPCA	1	0	0	0	1	0	2	1	0	1	2	31	24	1	0
CDCA8	32	36	64	30	13	39	32	6	12	20	36	162	145	11	5
ZNF684	215	309	221	101	60	168	176	199	157	188	292	53	51	155	166
IPO13	277	215	252	159	75	192	796	957	775	1137	1305	168	177	550	629
DMAP1	360	340	298	156	87	241	498	563	469	546	616	125	116	314	341
ZYG11B	2664	1865	2538	1262	593	1828	2729	3588	2812	3755	4619	146	143	2478	3071
PARS2	378	274	293	177	91	276	288	303	288	328	427	109	93	248	251
TMEM61	19	3	9	11	9	25	0	0	0	0	0	22	19	0	0
CRYZ	178	125	196	70	47	117	608	659	480	532	747	52	51	454	521
ST6GALNAC3	15	29	20	10	16	23	2	1	1	16	16	60	96	6	2
IFI44L	4221	7675	3775	990	1323	4767	413	672	562	431	615	121	122	289	336
LOC102901600	909	1981	956	178	126	537	1	1	0	0	0	339	266	0	0
HFM1	25	32	31	30	25	12	15	29	34	21	23	105	122	8	4
F3	2	2	4	2	3	1	9785	2890	2632	4275	5984	95	90	5258	6695
STXBP3	1487	1194	1557	690	381	951	824	1189	896	912	1240	162	130	631	839
UBL4B	3	1	0	1	1	0	0	0	0	0	0	45	39	0	0
FNDC7	0	2	1	1	6	0	2	2	2	0	1	109	125	1	0
RAP1A	2040	1867	1818	1387	491	1264	1061	1471	1260	1220	1780	605	383	1254	1507
ADORA3	10	6	15	2	17	9	0	0	0	0	0	161	145	0	0
TTF2	779	699	642	345	144	407	491	561	437	561	790	589	472	452	508
VTCN1	3	2	1	0	12	2	0	0	0	0	0	97	87	0	0
GDAP2	1361	1076	1162	804	368	861	819	866	682	944	1167	213	164	565	744
ACP6	48	45	40	19	18	31	11	11	17	27	27	41	88	14	20
CC1H1orf54	30	31	56	33	25	42	814	455	327	650	892	70	100	466	577
LOC101093878	1	0	0	0	1	0	0	0	2	0	0	4	1	0	0
PIP5K1A	1642	1586	1451	1078	364	1081	1452	1321	1121	1610	2035	217	190	735	854
MRPL9	330	339	346	217	88	249	436	392	325	392	566	200	197	239	296
PRR9	1	0	0	1	5	1	0	0	0	1	0	13	22	0	0
PSMD14	957	1217	1157	516	221	852	2853	2606	2077	3391	4480	216	141	1829	2517
GCG	3	0	2	3	7	1	0	0	1	1	0	60	66	0	0
IFIH1	1118	2623	1093	276	390	1098	175	204	182	227	279	195	198	126	162
GRB14	1	0	3	3	12	2	14	10	8	6	2	46	54	42	56
SLC38A11	12	9	8	6	11	11	0	2	0	1	0	58	94	0	0
NOSTRIN	3	1	2	5	6	1	0	2	4	3	8	79	83	3	8
PPIG	2283	1872	1929	935	327	1250	1273	1377	1044	1451	1810	777	477	771	952
ERICH2	18	20	15	4	16	7	46	54	23	69	68	80	99	44	37
DNAJC10	1496	1224	1247	834	278	894	2481	2824	2141	2407	3477	140	140	1698	2124
ZSWIM2	3	2	1	2	6	1	3	4	0	4	7	34	22	1	0
PPIL3	208	190	189	110	61	125	268	274	186	275	526	89	80	212	244
FAM126B	1517	1086	1128	773	317	750	365	421	331	388	580	180	183	350	456
ICOS	851	964	885	292	130	540	1	0	0	0	0	305	216	0	0
VWC2L	2	0	1	3	10	3	0	0	0	0	0	62	84	0	1
XRCC5	690	724	817	608	164	612	651	1545	1287	1076	1455	226	176	626	817
PNKD	193	203	230	136	55	166	356	539	479	355	431	169	218	722	758
SLC11A1	961	301	1185	290	273	585	0	1	1	1	0	148	158	0	3
CRYBA2	1	0	3	0	8	1	1	0	0	0	0	39	35	0	0
ANKZF1	917	929	851	468	175	534	309	423	320	440	475	229	209	206	246
GMPPA	783	565	613	282	117	449	922	772	677	1024	1259	162	172	541	716
SCG2	1	1	1	1	1	0	0	1	1	0	0	49	54	4	9
AGFG1	2645	2430	2547	1519	554	1893	1599	2138	1704	2074	2697	156	149	1130	1377
KCNJ13	43	12	35	66	26	28	5	7	4	4	6	27	23	7	11
TRPM8	6	1	4	9	31	1	27	5	11	21	27	299	323	3	13
PRLH	1	0	1	2	2	0	0	0	0	0	0	5	8	0	0
IQCA1	5	4	5	4	20	2	2	8	16	1	2	151	188	0	0
PRMT2	1054	1010	1128	624	260	890	857	853	791	1264	1533	119	125	791	959
ZBTB21	561	648	680	580	154	594	737	793	672	1067	1302	213	154	374	421
PCP4	2	1	0	2	3	0	0	0	0	0	0	20	40	0	0
FAM207A	579	460	501	260	96	432	498	542	491	520	645	79	61	372	473
CHAF1B	193	166	170	105	44	136	82	90	83	92	112	187	166	36	41
CC2H21orf140	9	11	12	15	4	3	50	53	60	127	134	13	37	47	88
DNAJC28	57	68	55	25	25	50	78	65	46	96	118	46	44	49	85
SOD1	1322	1253	1054	548	188	779	1228	1228	1020	1739	2314	207	122	1063	1222
LOC101095189	0	1	1	2	2	0	0	0	0	0	0	42	50	0	0
LOC101080730	0	0	0	0	1	0	0	0	0	0	0	24	35	0	0
LOC101080990	0	0	1	1	3	2	0	0	0	0	1	202	150	0	0
LOC101090130	0	0	0	2	1	0	0	0	0	0	0	3	3	0	0
LOC101089637	0	0	1	1	2	0	0	0	0	0	0	2	6	0	0
LOC101084050	7390	5243	4696	1288	782	2945	0	0	0	0	0	335	247	0	0
ZBED2	6	2	7	4	8	0	0	1	0	0	0	113	122	0	0
SPICE1	885	768	829	463	195	518	409	422	341	415	529	218	255	280	361
LOC101080819	473	387	494	283	115	323	196	409	343	469	623	111	63	327	383
HGD	30	24	16	25	18	22	2	1	5	5	10	84	117	2	1
FBXO40	379	241	347	196	80	217	1	0	0	1	4	127	139	1	1
FAM162A	437	371	442	245	98	283	1597	1460	1096	1969	2718	94	108	1288	1506
KALRN	1716	2816	1931	1279	449	1760	551	492	353	1298	1676	775	1050	564	645
MELTF	17	9	18	33	13	6	2514	1482	1451	311	365	234	238	225	216
DLG1	1376	1143	1257	1046	393	935	3731	3667	2742	2706	3844	192	227	2682	3350
LRRC15	16	5	8	14	13	11	18	7	6	16	26	128	200	7	13
PIGX	248	257	274	152	68	153	267	236	233	277	379	38	49	161	227
ADIPOQ	1	1	1	0	6	1	0	0	0	0	0	47	60	0	0
P3H2	1	2	5	2	13	4	278	153	142	470	634	74	92	98	180
AHSG	0	1	1	0	3	0	0	0	0	0	0	60	101	0	0
LOC101090286	5	0	0	2	12	0	2	0	0	0	0	70	102	0	2
SLC7A14	19	24	13	5	19	7	0	1	0	0	0	173	186	0	0
LRRC34	47	33	24	26	18	10	8	8	7	3	4	37	33	6	6
PLCH1	7	4	1	6	17	3	5	8	9	7	23	208	286	2	4
TM4SF18	29	15	30	17	16	16	2	4	4	1	2	43	86	2	1
LOC105259604	16	2	5	6	8	8	0	3	0	4	4	31	34	0	1
NME9	1	2	1	4	6	2	2	0	0	0	0	66	77	0	1
IL20RB	175	205	92	81	64	200	507	43	31	605	735	99	92	47	75
SPSB4	1	0	1	2	5	0	15	12	18	15	23	55	104	15	23
EPHB1	13	17	13	7	33	2	28	57	39	18	24	271	352	9	14
LOC101087599	3	2	3	4	15	3	0	0	0	1	1	102	128	0	0
CAPN7	980	929	833	613	198	613	1574	2407	1922	2111	2827	113	92	1047	1166
DAZL	1	1	1	2	6	1	0	0	0	0	0	41	54	0	0
PP2D1	19	16	24	10	10	14	27	24	11	18	22	26	12	14	10
KAT2B	3859	3420	3600	1592	736	2211	887	2022	1512	1033	1235	409	268	727	897
UBE2E1	1356	1620	1476	731	298	1068	1874	2005	1663	2116	2838	78	76	1328	1684
RPL15	26200	23766	27972	14813	5455	19935	24626	27746	22239	28153	35259	550	330	14574	17391
FAM198A	51	45	42	12	19	35	17	16	12	9	13	100	111	6	6
ZNF662	148	143	98	60	54	104	135	141	105	182	263	67	98	145	141
ACKR2	43	31	33	22	21	32	35	31	44	34	45	156	203	22	34
ZNF620	389	178	308	166	71	118	135	87	68	129	111	149	159	29	36
RPL14	20941	20196	24309	13768	4542	15971	17923	16624	14154	19565	24469	804	459	10301	12012
XIRP1	3	3	4	4	13	1	0	3	5	1	0	82	111	3	1
CEP126	15	3	3	10	24	3	139	145	101	153	208	105	128	176	203
MMP27	7	3	0	2	14	2	0	0	0	0	0	85	95	0	8
SLN	1	2	2	1	0	5	18	6	6	12	9	33	44	39	57
PIH1D2	19	13	16	8	4	8	97	107	75	102	137	26	43	35	50
ANKK1	8	3	2	1	14	0	1	0	0	0	1	130	129	0	0
MCAM	7	7	3	5	14	2	2086	548	514	145	154	85	97	2154	2508
LOC101094045	1	0	0	0	2	0	0	0	0	0	0	26	29	0	0
